33,449,22,298,3
31,450,20,302,5
31,449,19,301,3
31,450,19,300,3
31,450,19,301,5
32,448,20,300,4
31,450,20,298,5
33,449,19,302,5
33,449,22,301,3
32,449,19,299,4
31,451,18,300,4
31,451,17,299,5
32,448,20,298,3
31,448,20,299,5
31,449,18,297,4
32,449,21,299,3
32,450,20,300,5
32,450,20,299,3
32,450,19,301,4
31,451,18,300,5
32,449,20,301,4
32,449,19,300,5
32,450,20,300,4
32,449,20,299,5
33,449,19,301,4
32,451,21,299,3
32,450,19,300,3
31,448,20,300,5
32,450,19,301,5
32,449,19,300,5
33,450,19,299,5
31,448,17,299,3
33,450,21,300,4
31,449,19,300,4
33,447,20,299,3
32,448,20,300,4
30,449,18,300,3
33,448,19,300,4
33,450,20,299,3
32,448,20,300,4
33,450,18,300,4
32,448,20,301,5
33,450,21,299,5
33,451,18,301,4
31,448,21,299,3
31,448,19,300,4
32,450,21,300,3
30,449,20,300,4
31,450,18,300,5
32,449,20,301,4
32,450,21,301,5
32,450,20,300,5
30,450,19,299,5
30,450,19,300,4
32,450,20,299,5
32,450,21,299,4
32,447,19,299,4
33,450,19,301,3
33,449,20,299,3
31,451,20,298,5
32,448,18,299,5
33,449,20,299,3
31,449,20,299,4
32,449,20,301,3
32,450,19,300,3
32,450,20,299,4
32,451,19,300,3
32,447,20,299,4
32,449,18,300,3
30,448,19,300,4
32,450,20,299,3
31,450,20,300,5
31,450,18,300,3
33,450,20,299,3
31,452,18,300,5
32,449,19,299,3
32,448,21,300,5
29,451,19,301,5
33,449,20,300,4
32,451,19,300,3
32,449,20,297,3
33,451,19,301,3
31,449,20,298,3
31,450,19,299,4
32,449,22,299,3
32,450,20,298,4
32,452,21,300,3
32,451,18,300,5
32,449,20,301,5
32,451,17,299,3
33,449,20,302,5
32,447,19,301,5
33,451,20,300,4
32,449,19,298,4
31,450,20,300,5
33,449,22,300,5
32,449,20,299,3
32,448,20,302,3
33,448,21,300,3
31,449,19,298,3
34,448,18,302,5
32,449,20,300,5
33,450,21,301,4
34,449,20,300,3
30,448,21,301,3
33,448,20,301,5
32,449,20,300,4
33,448,20,300,5
32,450,21,299,4
32,449,19,299,3
34,450,21,299,5
33,451,19,300,3
32,449,21,299,5
34,451,20,300,3
31,451,19,299,3
31,450,21,301,5
31,450,19,298,3
32,449,19,300,4
32,447,21,301,3
33,447,20,297,5
32,451,19,300,5
32,448,17,299,5
33,449,19,301,3
32,449,21,301,3
32,450,19,300,3
31,448,19,299,3
33,449,21,299,4
33,450,19,299,3
32,449,18,301,3
33,449,20,300,3
33,449,21,299,3
30,449,20,300,5
32,450,19,299,5
32,451,18,300,3
31,450,20,299,4
33,449,19,299,5
34,449,18,299,5
31,451,19,300,3
32,449,20,299,5
32,452,21,300,3
31,450,20,300,3
32,449,21,299,4
30,448,20,300,3
33,450,18,300,5
33,450,22,300,3
33,450,20,300,3
33,450,18,299,3
32,452,20,297,5
29,449,20,300,4
29,450,17,299,3
31,452,21,299,5
31,448,21,300,5
33,450,19,302,4
30,451,19,299,3
33,450,21,301,5
32,450,19,300,3
33,451,20,300,4
34,450,19,299,3
34,449,20,301,3
31,451,19,301,4
31,448,19,300,3
31,448,19,299,3
32,449,20,301,3
32,450,18,300,4
32,449,17,299,5
30,449,20,299,4
32,452,18,299,3
32,450,20,299,3
32,447,18,300,5
32,447,18,300,3
33,450,22,299,5
32,450,20,298,3
30,450,20,301,5
31,449,19,299,4
31,451,20,301,5
32,449,19,300,5
33,449,19,298,4
32,448,18,298,5
30,451,20,298,3
31,448,19,299,3
32,450,21,299,3
33,449,20,299,5
32,448,19,299,3
31,449,18,300,4
31,449,20,300,5
32,448,18,299,3
32,449,21,297,5
33,449,21,301,3
31,450,18,299,5
32,448,18,299,5
30,452,21,299,4
33,450,17,301,3
29,449,19,298,4
33,448,20,301,4
31,449,18,299,4
32,449,20,298,5
33,450,18,299,3
30,450,19,300,5
33,449,20,300,4
33,449,18,298,5
30,451,17,298,5
33,451,20,299,4
32,450,20,300,5
34,452,19,299,4
30,449,21,300,3
33,449,20,299,3
31,450,20,299,4
32,449,18,299,3
32,448,19,300,4
33,449,20,299,5
33,450,18,298,5
33,448,21,300,3
32,449,20,299,5
32,449,19,299,3
34,449,19,299,5
33,448,21,298,4
32,452,19,300,4
31,450,20,298,3
31,449,18,301,4
33,448,19,298,4
32,449,19,300,4
32,449,20,302,5
30,450,19,298,3
30,449,20,300,5
32,449,19,300,4
32,449,19,300,3
30,450,22,300,5
33,451,20,300,4
32,449,18,301,4
31,450,21,299,4
32,450,20,300,4
31,452,20,298,3
32,448,20,300,5
33,450,20,300,5
31,450,19,299,3
33,450,20,298,3
33,450,21,301,4
34,451,18,297,3
31,448,18,299,5
32,449,20,298,3
33,449,20,300,4
31,450,20,301,4
33,449,20,299,4
33,448,22,301,5
33,449,19,300,3
31,449,19,300,5
32,448,19,300,3
33,449,20,299,3
33,450,19,298,3
32,449,19,298,4
34,451,18,299,3
31,448,20,298,4
31,448,21,300,4
33,449,20,298,4
33,448,19,299,4
33,448,20,300,4
31,448,20,301,3
31,449,20,298,5
31,450,18,300,3
33,449,19,298,4
34,450,20,301,3
33,449,20,300,4
31,449,21,301,4
32,450,19,299,5
32,450,19,301,3
34,449,19,301,3
33,448,20,300,3
34,450,19,300,5
31,449,19,300,5
32,450,19,300,5
34,451,19,299,5
31,449,17,300,4
32,451,18,301,3
33,449,21,301,5
33,451,21,300,5
35,450,20,299,3
